ID,Category,Status,Priority,Feature / Outcome,Task,Assignee,Files / Area,Definition of Done,Evidence,Notes / Blockers
RMVP-01,Catalog,Not Started,High,Browse results feel clear and usable,"Review the Browse Datasets page and improve spacing, result density, empty state, active filter visibility, and mobile layout without changing the core route behavior",,"app/Views/datasets/index.php; public/assets/css/app.css","Guest and logged-in browse pages are readable on desktop and mobile; filters do not dominate results; empty state is clear","Desktop and mobile screenshots","Do not add Admin filters"
RMVP-02,Catalog,Not Started,High,Dataset Preview behaves like a real preview,"Polish the preview modal content, focus behavior, close behavior, and responsive layout so users can scan metadata before opening the detail page",,"app/Views/datasets/index.php; public/assets/css/app.css","Preview opens from each result, closes by button/backdrop/Escape, returns focus to the trigger, and does not overlap or clip content","Short screen recording or screenshots","Keep download out of preview"
RMVP-03,Dataset Detail,Not Started,High,Detail page encourages citation before download,"Improve the dataset detail sidebar and citation area so metadata, citation, BibTeX, and Download ZIP are easy to find in the right order",,"app/Views/datasets/show.php; public/assets/css/app.css","Citation and BibTeX are visible before or near download; Download ZIP remains on detail page only; recommendations still render","Screenshot plus manual download check","Do not re-add browse direct download"
RMVP-04,Dataset Detail,Not Started,Medium,Citation text is easy to reuse,Add copy-to-clipboard buttons for plain citation and BibTeX with visible success feedback,,"app/Views/datasets/show.php; public/assets/css/app.css","Both copy buttons copy the correct text and show a short confirmation","Manual test note and screenshot","Keep JavaScript small and local or shared"
RMVP-05,Contributor Workflow,Not Started,High,Upload form is contributor-friendly,"Improve upload form labels, helper text, validation display, anonymization confirmation, and file guidance",,"app/Views/upload/create.php; app/Controllers/DatasetUpload.php; public/assets/css/app.css","A new contributor can understand required metadata and ZIP upload rules; invalid submission errors are specific and readable","Screenshots for normal and validation-error states","Upload must still create Pending Review"
RMVP-06,Contributor Workflow,Not Started,High,My Datasets clearly shows ownership and status,"Improve My Datasets cards so status, access type, edit/archive actions, and next step are obvious",,"app/Views/dashboard/index.php; public/assets/css/app.css","Owner can distinguish Published, Pending Review, Revision Requested, Rejected, and Archived items at a glance","Screenshot with seeded or test records","Status is display-only"
RMVP-07,Contributor Workflow,Not Started,Medium,Edit/update flow explains review impact,"Improve the edit page copy and states so contributors know when changes preserve status versus return to Pending Review",,"app/Views/datasets/edit.php; app/Controllers/Datasets.php","Edit form communicates versioning and review impact; update still increments version and respects owner-only access","Manual edit test note","Do not add approve/reject controls"
RMVP-08,Authentication,Not Started,High,Password reset is locally auditable,"Verify and refine forgot-password/reset-password pages, invalid token state, expired token state, and success messages",,"app/Views/auth/forgot_password.php; app/Views/auth/reset_password.php; app/Controllers/Auth.php","Active account can request reset in development, use displayed link, change password, and log in with the new password; invalid token shows a clear message","Manual test note with routes checked","Email sending remains out of scope"
RMVP-09,Authentication,Not Started,Medium,Login and registration feel polished,"Review login/register forms for labels, autocomplete, helper copy, validation errors, and mobile layout",,"app/Views/auth/login.php; app/Views/auth/register.php; public/assets/css/app.css","Login/register are clear on desktop and mobile; errors are readable; seeded account remains visible for local demo","Screenshots and one failed-login test note","Do not switch to Google auth"
RMVP-10,Testing,Not Started,High,Dataset access rules are protected by tests,"Add feature tests for guest browse, logged-in browse, detail access, private/restricted access behavior, and detail-page download",,"tests/; app/Controllers/Datasets.php only if bug fix needed","Tests pass and cover public, institutional, restricted, private, archived, and non-published cases","composer test output","Prefer tests before controller changes"
RMVP-11,Testing,Not Started,High,Contributor lifecycle is protected by tests,"Add feature tests for upload, owner edit, version increment, owner archive, and non-owner denial",,"tests/; upload/dataset controllers only if bug fix needed","Tests prove contributor can manage own datasets but not others; upload starts Pending Review; archive removes from public browse","composer test output","Use temporary uploaded ZIP fixtures"
RMVP-12,Data,Not Started,Medium,Demo data supports UI review,"Expand MvpSeeder to include records for all useful public/user states and access labels without duplicating rows when rerun",,"app/Database/Seeds/MvpSeeder.php","Seeder can be run repeatedly; demo includes enough records to inspect access labels and owner statuses","php spark db:seed MvpSeeder plus screenshots","Do not seed admin users"
RMVP-13,Data,Not Started,Medium,Validation rules are consistent,"Review controller/model validation for dataset metadata, access type, ZIP upload, password fields, and required fields",,"app/Controllers/; app/Models/","Invalid input is rejected with clear messages; status/access values remain closed sets","Test output or manual validation notes","Keep scope to user-facing flows"
RMVP-14,Recommendations,Not Started,Medium,Recommendations are understandable,"Improve recommendation display with category/type context and verify recommendation candidates respect access and published status",,"app/Views/datasets/show.php; app/Controllers/Datasets.php; app/Helpers/recommendation_helper.php","Similar datasets are relevant enough for MVP and never show unauthorized/archived/rejected records","Screenshot and test/manual note","No AI/ML recommender in this branch"
RMVP-15,Home,Not Started,Medium,Public homepage communicates the product,"Review home page sections, featured datasets, partner logos, calls to action, and mobile layout",,"app/Views/home/index.php; app/Controllers/Home.php; public/assets/css/app.css","Home page explains browse/upload value, shows real seeded/Published data, and is visually consistent","Desktop and mobile screenshots","Avoid marketing-only content"
RMVP-16,App Shell,Not Started,Medium,App shell is consistent,"Review header, mobile nav, footer, active links, flash notices, and authenticated/guest states",,"app/Views/layouts/main.php; public/assets/css/app.css","Navigation works for guest and logged-in users; logout form works with CSRF; notices are readable","Screenshots for guest and logged-in nav","Keep Admin links out"
RMVP-17,Accessibility,Not Started,Low,Accessibility basics are covered,"Check labels, keyboard focus, modal behavior, contrast, form errors, and skip/screen-reader utility classes",,Views and CSS,"Main flows can be navigated by keyboard; form fields have labels; modal focus and close behavior are acceptable","Accessibility checklist notes","No full WCAG audit required"
RMVP-18,Docs/Ops,Not Started,Low,Handoff docs are teammate-ready,"Improve README/SETUP/TASKS wording only where a new teammate would be confused after reading once",,"README.md; SETUP.md; TASKS.md; docs/","A teammate can clone, configure, migrate, seed, run, test, and choose a task without asking for chat history","Reviewer note or doc diff","Keep docs short"
RMVP-19,Docs/Ops,Not Started,Low,Deployment checklist exists,"Add a deploy checklist for school/shared hosting: PHP version, web root, writable folders, env, database, migrations, HTTPS, and seed policy",,"docs/DEPLOYMENT.md; maybe SETUP.md","Checklist exists and separates local dev from deployment","Link to doc","Do not deploy from this task"
RMVP-20,Docs/Ops,Not Started,Low,Branch audit is repeatable,Create a short audit template teammates can paste into PRs after testing their task,,docs/ or TASKS.md,"Template includes what changed, screenshots/tests, manual route checks, and known limits","Template committed","Keep it lightweight"
